coin,direction,entry_hour,exit_hour,hold_hours,entry_price,exit_price,entry_fr,exit_fr,price_pnl,funding_pnl,fees,net_pnl,year
CELO,LONG,2025-03-31 06:00:00,2025-03-31 17:00:00,11.0,0.329,0.329,-1.44741e-05,-2.7033e-06,0.0,0.033915310000000004,0.09,-0.05608468999999999,2025
FXS,LONG,2025-03-31 09:00:00,2025-03-31 18:00:00,9.0,1.8812,1.9388,-1.42329e-05,1.2671e-06,3.0618753986816976,0.009306960000000001,0.09,2.9811823586816977,2025
TURBO,LONG,2025-03-31 15:00:00,2025-03-31 18:00:00,3.0,0.0019689,0.0019654,-1.43985e-05,1.8409e-06,-0.17776423383615375,0.00148219,0.09,-0.2662820438361537,2025
XLM,LONG,2025-03-31 16:00:00,2025-03-31 20:00:00,4.0,0.26613,0.26396,-1.48986e-05,-6.106e-07,-0.8153909743358531,0.0018315699999999998,0.09,-0.903559404335853,2025
AVAX,LONG,2025-03-29 20:00:00,2025-03-31 22:00:00,50.0,19.622,18.725,-1.42631e-05,-1.2061e-06,-4.571399449597383,0.10770813999999998,0.09,-4.553691309597383,2025
TURBO,LONG,2025-03-31 21:00:00,2025-03-31 22:00:00,1.0,0.0019419,0.0019345,-1.44017e-05,-1.206e-07,-0.3810700859982528,0.0,0.09,-0.47107008599825284,2025
RSR,LONG,2025-03-31 22:00:00,2025-04-01 00:00:00,2.0,0.006284,0.006312,-1.41088e-05,-1.7709e-06,0.4455760661998766,0.00080618,0.09,0.3563822461998766,2025
BSV,LONG,2025-03-31 23:00:00,2025-04-01 01:00:00,2.0,31.47,31.62,-1.4459e-05,2.363e-06,0.47664442326025463,0.00085348,0.09,0.3874979032602547,2025
TNSR,LONG,2025-03-31 16:00:00,2025-04-01 02:00:00,10.0,0.1641,0.1679,-1.48809e-05,-7.152e-07,2.3156611822059707,0.015766320000000004,0.09,2.241427502205971,2025
ATOM,LONG,2025-03-31 21:00:00,2025-04-01 02:00:00,5.0,4.375,4.396,-1.4589e-05,-2.8758e-06,0.4799999999999979,0.009645729999999998,0.09,0.3996457299999979,2025
